label,feature,mean_abs_shap
property_value_update,sign_change,0.012220083962507067
property_value_update,precision_change,0.025422956872166728
property_value_update,precision_added,0.00031118728154355343
property_value_update,precision_removed,0.0028652492143284424
property_value_update,length_increase,0.0023681420802787825
property_value_update,length_decrease,0.0020141046759449945
property_value_update,whole_number_change,0.057670979151078036
property_value_update,shared_prefix,0.007153021962778635
property_value_update,shared_prefix_length,0.0034051342853729234
property_value_update,full_cosine_similarity,0.0014042321134747806
re_formatting,sign_change,0.03007199393937193
re_formatting,precision_change,0.022008046872921655
re_formatting,precision_added,0.0001665695511395666
re_formatting,precision_removed,0.004245478363688669
re_formatting,length_increase,0.01361042508124021
re_formatting,length_decrease,0.0037146635111789616
re_formatting,whole_number_change,0.023606387837863316
re_formatting,shared_prefix,0.0030523445760433114
re_formatting,shared_prefix_length,0.0026937555041777373
re_formatting,full_cosine_similarity,0.008102941763911424
refinement,sign_change,0.007267003819587513
refinement,precision_change,0.022900407323928895
refinement,precision_added,0.001033041435662322
refinement,precision_removed,0.0049315361384717135
refinement,length_increase,0.040126160227443426
refinement,length_decrease,0.0224580899740946
refinement,whole_number_change,0.016057758794532893
refinement,shared_prefix,0.0026659676872574545
refinement,shared_prefix_length,0.0055770859378589605
refinement,full_cosine_similarity,0.0031399205636091078
unrefinement,sign_change,0.01058490615727727
unrefinement,precision_change,0.02453059642115934
unrefinement,precision_added,0.0005552846029791998
unrefinement,precision_removed,0.0040618894673239495
unrefinement,length_increase,0.024411059829464968
unrefinement,length_decrease,0.027457186977065683
unrefinement,whole_number_change,0.018006832518681987
unrefinement,shared_prefix,0.003672864837386145
unrefinement,shared_prefix_length,0.0024188317568737145
unrefinement,full_cosine_similarity,0.008450684952009336
OVERALL,whole_number_change,0.02883548957553906
OVERALL,precision_change,0.023715501872544155
OVERALL,length_increase,0.020128946804606848
OVERALL,sign_change,0.015035996969685946
OVERALL,length_decrease,0.01391101128457106
OVERALL,full_cosine_similarity,0.005274444848251162
OVERALL,shared_prefix,0.004136049765866387
OVERALL,precision_removed,0.004026038295953193
OVERALL,shared_prefix_length,0.003523701871070834
OVERALL,precision_added,0.0005165207178311605
