"datatype","individual_label","count","year"
"time","unrefinement","1016","2025"
"time","property_value_update","118364","2019"
"time","refinement","16483","2016"
"time","re_formatting","3847","2021"
"time","refinement","119255","2014"
"time","property_value_update","110189","2023"
"time","re_formatting","1165","2017"
"time","re_formatting","4010","2023"
"time","property_value_update","94356","2022"
"time","unrefinement","55","2013"
"time","property_value_update","117522","2014"
"time","refinement","44821","2024"
"time","property_value_update","31848","2016"
"time","refinement","51564","2020"
"time","refinement","35631","2017"
"time","refinement","51412","2018"
"time","unrefinement","2085","2024"
"time","re_formatting","1328","2018"
"time","property_value_update","20776","2015"
"time","unrefinement","2425","2019"
"time","re_formatting","1146","2024"
"time","re_formatting","4","2013"
"time","refinement","79993","2019"
"time","refinement","13258","2015"
"time","refinement","45334","2022"
"time","refinement","19910","2025"
"time","re_formatting","1284","2016"
"time","property_value_update","44154","2025"
"time","re_formatting","4916","2022"
"time","re_formatting","2103","2019"
"time","re_formatting","134","2014"
"time","re_formatting","8564","2025"
"time","property_value_update","115730","2024"
"time","unrefinement","2267","2021"
"time","property_value_update","76193","2018"
"time","unrefinement","1995","2022"
"time","refinement","555","2013"
"time","refinement","45596","2023"
"time","unrefinement","2066","2023"
"time","unrefinement","803","2018"
"time","property_value_update","1452","2013"
"time","re_formatting","3701","2020"
"time","re_formatting","7985","2015"
"time","unrefinement","685","2017"
"time","property_value_update","98126","2021"
"time","unrefinement","283","2015"
"time","refinement","48573","2021"
"time","unrefinement","10","2014"
"time","unrefinement","471","2016"
"time","unrefinement","1775","2020"
"time","property_value_update","52694","2017"
"time","property_value_update","95105","2020"
"globecoordinate_latitude","unrefinement","293","2025"
"globecoordinate_latitude","property_value_update","30327","2019"
"globecoordinate_latitude","refinement","1147","2016"
"globecoordinate_latitude","re_formatting","47","2021"
"globecoordinate_latitude","refinement","570","2014"
"globecoordinate_latitude","property_value_update","40670","2023"
"globecoordinate_latitude","re_formatting","24","2017"
"globecoordinate_latitude","re_formatting","51","2023"
"globecoordinate_latitude","property_value_update","40052","2022"
"globecoordinate_latitude","unrefinement","77","2013"
"globecoordinate_latitude","property_value_update","3430","2014"
"globecoordinate_latitude","refinement","3907","2024"
"globecoordinate_latitude","property_value_update","7141","2016"
"globecoordinate_latitude","refinement","3927","2020"
"globecoordinate_latitude","refinement","1386","2017"
"globecoordinate_latitude","refinement","70328","2018"
"globecoordinate_latitude","unrefinement","4138","2024"
"globecoordinate_latitude","re_formatting","312","2018"
"globecoordinate_latitude","property_value_update","38132","2015"
"globecoordinate_latitude","unrefinement","1843","2019"
"globecoordinate_latitude","re_formatting","19","2024"
"globecoordinate_latitude","re_formatting","17","2013"
"globecoordinate_latitude","refinement","3987","2019"
"globecoordinate_latitude","refinement","1864","2015"
"globecoordinate_latitude","refinement","1096","2025"
"globecoordinate_latitude","refinement","3408","2022"
"globecoordinate_latitude","re_formatting","53","2016"
"globecoordinate_latitude","property_value_update","16122","2025"
"globecoordinate_latitude","re_formatting","33","2022"
"globecoordinate_latitude","re_formatting","20","2019"
"globecoordinate_latitude","re_formatting","19","2014"
"globecoordinate_latitude","re_formatting","14","2025"
"globecoordinate_latitude","property_value_update","56331","2024"
"globecoordinate_latitude","unrefinement","807","2021"
"globecoordinate_latitude","property_value_update","323189","2018"
"globecoordinate_latitude","unrefinement","936","2022"
"globecoordinate_latitude","refinement","594","2013"
"globecoordinate_latitude","refinement","3368","2023"
"globecoordinate_latitude","unrefinement","894","2023"
"globecoordinate_latitude","unrefinement","17600","2018"
"globecoordinate_latitude","property_value_update","2449","2013"
"globecoordinate_latitude","re_formatting","27","2020"
"globecoordinate_latitude","re_formatting","41","2015"
"globecoordinate_latitude","unrefinement","1378","2017"
"globecoordinate_latitude","property_value_update","37918","2021"
"globecoordinate_latitude","unrefinement","1781","2015"
"globecoordinate_latitude","refinement","3616","2021"
"globecoordinate_latitude","unrefinement","105","2014"
"globecoordinate_latitude","unrefinement","159","2016"
"globecoordinate_latitude","unrefinement","771","2020"
"globecoordinate_latitude","property_value_update","17430","2017"
"globecoordinate_latitude","property_value_update","36331","2020"
"globecoordinate_longitude","unrefinement","265","2025"
"text","textual_change","67066","2018"
"globecoordinate_longitude","property_value_update","29789","2019"
"globecoordinate_longitude","refinement","1246","2016"
"globecoordinate_longitude","re_formatting","227","2021"
"globecoordinate_longitude","refinement","679","2014"
"globecoordinate_longitude","property_value_update","40449","2023"
"globecoordinate_longitude","re_formatting","314","2017"
"globecoordinate_longitude","re_formatting","148","2023"
"globecoordinate_longitude","property_value_update","39578","2022"
"globecoordinate_longitude","unrefinement","83","2013"
"globecoordinate_longitude","property_value_update","3283","2014"
"globecoordinate_longitude","refinement","4638","2024"
"globecoordinate_longitude","property_value_update","6966","2016"
"globecoordinate_longitude","refinement","4383","2020"
"globecoordinate_longitude","refinement","1552","2017"
"globecoordinate_longitude","refinement","81658","2018"
"globecoordinate_longitude","unrefinement","934","2024"
"globecoordinate_longitude","re_formatting","214","2018"
"globecoordinate_longitude","property_value_update","38092","2015"
"globecoordinate_longitude","unrefinement","1720","2019"
"globecoordinate_longitude","re_formatting","182","2024"
"globecoordinate_longitude","re_formatting","204","2013"
"globecoordinate_longitude","refinement","4494","2019"
"globecoordinate_longitude","refinement","2039","2015"
"globecoordinate_longitude","refinement","1297","2025"
"globecoordinate_longitude","refinement","4028","2022"
"globecoordinate_longitude","re_formatting","321","2016"
"globecoordinate_longitude","property_value_update","15914","2025"
"globecoordinate_longitude","re_formatting","177","2022"
"globecoordinate_longitude","re_formatting","246","2019"
"globecoordinate_longitude","re_formatting","171","2014"
"globecoordinate_longitude","re_formatting","71","2025"
"globecoordinate_longitude","property_value_update","58727","2024"
"globecoordinate_longitude","unrefinement","744","2021"
"globecoordinate_longitude","property_value_update","315101","2018"
"globecoordinate_longitude","unrefinement","867","2022"
"globecoordinate_longitude","refinement","608","2013"
"globecoordinate_longitude","refinement","3682","2023"
"globecoordinate_longitude","unrefinement","845","2023"
"globecoordinate_longitude","unrefinement","13871","2018"
"globecoordinate_longitude","property_value_update","2392","2013"
"globecoordinate_longitude","re_formatting","232","2020"
"globecoordinate_longitude","re_formatting","260","2015"
"globecoordinate_longitude","unrefinement","1369","2017"
"globecoordinate_longitude","property_value_update","37482","2021"
"globecoordinate_longitude","unrefinement","1546","2015"
"globecoordinate_longitude","refinement","4084","2021"
"globecoordinate_longitude","unrefinement","109","2014"
"globecoordinate_longitude","unrefinement","144","2016"
"globecoordinate_longitude","unrefinement","644","2020"
"globecoordinate_longitude","property_value_update","17159","2017"
"globecoordinate_longitude","property_value_update","36009","2020"
"text","textual_change","264425","2015"
"text","unrefinement","82675","2025"
"text","textual_change","907","2012"
"text","textual_change","91658","2021"
"text","property_value_update","647989","2019"
"text","refinement","359573","2016"
"text","re_formatting","556725","2021"
"text","refinement","69454","2014"
"text","property_value_update","521992","2023"
"text","re_formatting","987498","2017"
"text","re_formatting","582692","2023"
"text","property_value_update","365348","2022"
"text","unrefinement","59122","2013"
"text","property_value_update","47407","2014"
"text","refinement","1153918","2024"
"text","property_value_update","425496","2016"
"text","refinement","1840500","2020"
"text","property_value_update","986","2012"
"text","textual_change","258093","2024"
"text","refinement","492313","2017"
"text","refinement","394191","2018"
"text","unrefinement","362625","2024"
"text","re_formatting","506042","2018"
"text","property_value_update","206019","2015"
"text","unrefinement","250649","2019"
"text","re_formatting","1906253","2024"
"text","textual_change","38838","2016"
"text","re_formatting","63267","2013"
"text","refinement","813345","2019"
"text","textual_change","298729","2023"
"text","textual_change","158895","2019"
"text","refinement","201428","2015"
"text","textual_change","153451","2020"
"text","textual_change","93636","2017"
"text","textual_change","23693","2014"
"text","refinement","246234","2025"
"text","refinement","1359002","2022"
"text","re_formatting","296478","2016"
"text","property_value_update","137823","2025"
"text","re_formatting","500352","2022"
"text","re_formatting","209834","2019"
"text","textual_change","90140","2025"
"text","textual_change","18155","2013"
"text","re_formatting","145925","2014"
"text","re_formatting","186019","2025"
"text","property_value_update","331169","2024"
"text","textual_change","130755","2022"
"text","refinement","1986","2012"
"text","unrefinement","234114","2021"
"text","property_value_update","223513","2018"
"text","unrefinement","285091","2022"
"text","refinement","69591","2013"
"text","refinement","693547","2023"
"text","unrefinement","298375","2023"
"text","unrefinement","135656","2018"
"text","property_value_update","53682","2013"
"text","re_formatting","389439","2020"
"text","re_formatting","165967","2015"
"text","unrefinement","149879","2017"
"text","property_value_update","356808","2021"
"text","unrefinement","1135230","2015"
"text","refinement","650545","2021"
"text","unrefinement","48662","2014"
"text","unrefinement","125769","2016"
"text","unrefinement","340480","2020"
"text","property_value_update","244745","2017"
"text","property_value_update","564825","2020"
"text","unrefinement","2562","2012"
"text","re_formatting","2190","2012"
"entity","unrefinement","22096","2025"
"entity","property_value_update","435722","2019"
"entity","refinement","158105","2016"
"entity","refinement","115091","2014"
"entity","property_value_update","340373","2023"
"entity","property_value_update","369671","2022"
"entity","link_change","644921","2013"
"entity","unrefinement","12722","2013"
"entity","property_value_update","75102","2014"
"entity","refinement","207399","2024"
"entity","property_value_update","189311","2016"
"entity","refinement","195365","2020"
"entity","refinement","138338","2017"
"entity","refinement","277249","2018"
"entity","unrefinement","89286","2024"
"entity","property_value_update","219406","2015"
"entity","unrefinement","60984","2019"
"entity","refinement","268309","2019"
"entity","refinement","99017","2015"
"entity","link_change","190755","2016"
"entity","refinement","259620","2022"
"entity","refinement","128862","2025"
"entity","link_change","193640","2023"
"entity","link_change","122727","2017"
"entity","link_change","217434","2015"
"entity","link_change","36697","2014"
"entity","property_value_update","205305","2025"
"entity","link_change","551832","2021"
"entity","link_change","3816944","2019"
"entity","property_value_update","370928","2024"
"entity","link_change","384908","2020"
"entity","unrefinement","37780","2021"
"entity","property_value_update","291887","2018"
"entity","unrefinement","51566","2022"
"entity","refinement","141870","2013"
"entity","refinement","228955","2023"
"entity","unrefinement","66547","2023"
"entity","unrefinement","57695","2018"
"entity","property_value_update","37776","2013"
"entity","link_change","175986","2018"
"entity","unrefinement","33379","2017"
"entity","link_change","220813","2024"
"entity","property_value_update","380609","2021"
"entity","unrefinement","6380","2015"
"entity","refinement","274433","2021"
"entity","link_change","304577","2022"
"entity","unrefinement","5053","2014"
"entity","link_change","65679","2025"
"entity","unrefinement","57240","2016"
"entity","unrefinement","50118","2020"
"entity","property_value_update","194082","2017"
"entity","property_value_update","359587","2020"
"quantity","unrefinement","123","2025"
"quantity","property_value_update","35017","2019"
"quantity","refinement","1468","2016"
"quantity","re_formatting","271","2021"
"quantity","refinement","5","2014"
"quantity","property_value_update","36923","2023"
"quantity","re_formatting","160","2017"
"quantity","re_formatting","874","2023"
"quantity","property_value_update","38082","2022"
"quantity","property_value_update","11398","2014"
"quantity","refinement","652","2024"
"quantity","property_value_update","12928","2016"
"quantity","refinement","581","2020"
"quantity","refinement","686","2017"
"quantity","refinement","360","2018"
"quantity","unrefinement","431","2024"
"quantity","re_formatting","131","2018"
"quantity","property_value_update","9320","2015"
"quantity","unrefinement","4658","2019"
"quantity","re_formatting","222","2024"
"quantity","refinement","918","2019"
"quantity","refinement","38","2015"
"quantity","refinement","261","2025"
"quantity","refinement","664","2022"
"quantity","re_formatting","222","2016"
"quantity","property_value_update","17744","2025"
"quantity","re_formatting","3973","2022"
"quantity","re_formatting","123","2019"
"quantity","re_formatting","29","2014"
"quantity","re_formatting","63","2025"
"quantity","property_value_update","38609","2024"
"quantity","unrefinement","509","2021"
"quantity","property_value_update","25029","2018"
"quantity","unrefinement","1110","2022"
"quantity","refinement","772","2023"
"quantity","unrefinement","226","2023"
"quantity","unrefinement","7121","2018"
"quantity","re_formatting","458","2020"
"quantity","re_formatting","54","2015"
"quantity","unrefinement","475","2017"
"quantity","property_value_update","43299","2021"
"quantity","unrefinement","60","2015"
"quantity","refinement","654","2021"
"quantity","unrefinement","1","2014"
"quantity","unrefinement","71","2016"
"quantity","unrefinement","1234","2020"
"quantity","property_value_update","85509","2017"
"quantity","property_value_update","38282","2020"
